date,start_est,away_rest,away_team,home_team,home_rest,arena
22-Oct-19,8:00pm,first_game,New Orleans Pelicans,Toronto Raptors,first_game,Scotiabank Arena
22-Oct-19,10:30pm,first_game,Los Angeles Lakers,Los Angeles Clippers,first_game,Staples Center
23-Oct-19,7:00pm,first_game,Cleveland Cavaliers,Orlando Magic,first_game,Amway Center
23-Oct-19,7:00pm,first_game,Detroit Pistons,Indiana Pacers,first_game,Bankers Life Fieldhouse
23-Oct-19,7:00pm,first_game,Chicago Bulls,Charlotte Hornets,first_game,Spectrum Center
23-Oct-19,7:30pm,first_game,Memphis Grizzlies,Miami Heat,first_game,American Airlines Arena
23-Oct-19,7:30pm,first_game,Minnesota Timberwolves,Brooklyn Nets,first_game,Barclays Center
23-Oct-19,7:30pm,first_game,Boston Celtics,Philadelphia 76ers,first_game,Wells Fargo Center
23-Oct-19,8:30pm,first_game,Washington Wizards,Dallas Mavericks,first_game,American Airlines Center
23-Oct-19,8:30pm,first_game,New York Knicks,San Antonio Spurs,first_game,AT&T Center
23-Oct-19,9:00pm,first_game,Oklahoma City Thunder,Utah Jazz,first_game,Vivint Smart Home Arena
23-Oct-19,10:00pm,first_game,Denver Nuggets,Portland Trail Blazers,first_game,Moda Center
23-Oct-19,10:00pm,first_game,Sacramento Kings,Phoenix Suns,first_game,Talking Stick Resort Arena
24-Oct-19,7:00pm,first_game,Atlanta Hawks,Detroit Pistons,0,Little Caesars Arena
24-Oct-19,8:00pm,first_game,Milwaukee Bucks,Houston Rockets,first_game,Toyota Center
24-Oct-19,10:30pm,1,Los Angeles Clippers,Golden State Warriors,first_game,Chase Center
25-Oct-19,7:00pm,2,Toronto Raptors,Boston Celtics,1,TD Garden
25-Oct-19,7:00pm,1,Minnesota Timberwolves,Charlotte Hornets,1,Spectrum Center
25-Oct-19,7:30pm,1,New York Knicks,Brooklyn Nets,1,Barclays Center
25-Oct-19,8:00pm,1,Washington Wizards,Oklahoma City Thunder,1,Chesapeake Energy Arena
25-Oct-19,8:00pm,1,Dallas Mavericks,New Orleans Pelicans,2,Smoothie King Center
25-Oct-19,8:00pm,1,Chicago Bulls,Memphis Grizzlies,1,FedExForum
25-Oct-19,9:00pm,1,Phoenix Suns,Denver Nuggets,1,Pepsi Center
25-Oct-19,10:00pm,1,Portland Trail Blazers,Sacramento Kings,1,Golden 1 Center
25-Oct-19,10:30pm,1,Utah Jazz,Los Angeles Lakers,2,Staples Center
26-Oct-19,5:00pm,2,Miami Heat,Milwaukee Bucks,1,Fiserv Forum
26-Oct-19,7:00pm,2,Philadelphia 76ers,Detroit Pistons,1,Little Caesars Arena
26-Oct-19,7:30pm,2,Orlando Magic,Atlanta Hawks,1,State Farm Arena
26-Oct-19,7:30pm,0,Boston Celtics,New York Knicks,0,Madison Square Garden
26-Oct-19,8:00pm,0,New Orleans Pelicans,Houston Rockets,1,Toyota Center
26-Oct-19,8:00pm,2,Indiana Pacers,Cleveland Cavaliers,2,Rocket Mortgage FieldHouse
26-Oct-19,8:00pm,0,Toronto Raptors,Chicago Bulls,0,United Center
26-Oct-19,8:30pm,0,Washington Wizards,San Antonio Spurs,2,AT&T Center
26-Oct-19,9:00pm,0,Sacramento Kings,Utah Jazz,0,Vivint Smart Home Arena
26-Oct-19,10:00pm,1,Los Angeles Clippers,Phoenix Suns,0,Talking Stick Resort Arena
